post_id,chunk_idx,chunk_text,chunk_len,paragraph_indices,cej_stage,chunking_method,chunk_global_idx,n_paras,text_cluster,text_cluster_prob,umap_x,umap_y,chunk_text_clean,text_cluster_label,primary_cej,secondary_cej
1,0,"해당 글은 원고료로 작성된 포스팅입니다 요즘 집에서 가장 말썽이 많았던 가전이 뭐였냐고 묻는다면 저는 망설임 없이 무선청소기라고 말할 것 같아요. 생각해보니 벌써 5년 넘게 사용했던 LG 무선청소기를 너무 당연하다는 듯 계속 써왔던 게 문제의 시작이었던 것 같네요. 처음에는 충전이 조금 불안정하다는 정도였는데 어느 순간부터는 켜졌다가 꺼지고, 다시 연결하면 잠깐 작동하다 멈추는 일이 반복되더라고요. LG 무선청소기 배터리 수명이 다한거겠지 싶어서 LG청소기 배터리만 따로 구매해 교체해봤지만 결국 서비스 점검을 다시 받아보게 됐고요. 기사님 설명을 듣고 나니 현실을 받아들일 수밖에 없었어요. 배터리 문제뿐만 아니라 본체 쪽에서도 손봐야 할 부분이 꽤 있고,",370,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",관리,semantic,0,13,1,0.7752606519325544,3.7229369,6.1632113,"해당 글은 원고료로 작성된 포스팅입니다 요즘 집에서 가장 말썽이 많았던 가전이 뭐였냐고 묻는다면 저는 망설임 없이 무선청소기라고 말할 것 같아요. 생각해보니 벌써 5년 넘게 사용했던 LG 무선청소기를 너무 당연하다는 듯 계속 써왔던 게 문제의 시작이었던 것 같네요. 처음에는 충전이 조금 불안정하다는 정도였는데 어느 순간부터는 켜졌다가 꺼지고, 다시 연결하면 잠깐 작동하다 멈추는 일이 반복되더라고요. LG 무선청소기 배터리 수명이 다한거겠지 싶어서 LG청소기 배터리만 따로 구매해 교체해봤지만 결국 서비스 점검을 다시 받아보게 됐고요. 기사님 설명을 듣고 나니 현실을 받아들일 수밖에 없었어요. 배터리 문제뿐만 아니라 본체 쪽에서도 손봐야 할 부분이 꽤 있고,",배터리 교체 (호환 배터리),관리,교체
1,1,"수리비를 생각하면 차라리 새 제품을 구매하는 편이 낫다는 말씀이었거든요. 게다가 오래된 모델이다 보니 부품 수급도 쉽지 않고, 지금 고쳐도 앞으로 얼마나 더 쓸 수 있을지는 장담하기 어렵다고 하셔서 괜히 더 고민이 깊어졌습니다. 집으로 돌아오는 길에 청소기 하나 때문에 이렇게 스트레스를 받네 라는 생각이 계속 들더라고요. 게다가 지금 사는 곳은 서비스센터도 가까운 편이 아니라 시간을 따로 내야 한다는 점도 은근히 부담이었고요. 그래서 이번에는 마음을 고쳐먹었습니다. 실제로 쓰기 편한지를 기준으로 다시 골라보자고요. 특히 한 번 배터리 문제를 겪고 나니 이번 선택에서는 사용 시간과 안정성을 가장 중요하게 보게 되더라고요. 여러 무선청소기중 배터리까지 비교해본 끝에 제가 선택한 제품은 에이드웰 무선청소기였습니다.",401,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",관리,semantic,1,14,1,0.9546930447347646,3.8685043,6.180434,"수리비를 생각하면 차라리 새 제품을 구매하는 편이 낫다는 말씀이었거든요. 게다가 오래된 모델이다 보니 부품 수급도 쉽지 않고, 지금 고쳐도 앞으로 얼마나 더 쓸 수 있을지는 장담하기 어렵다고 하셔서 괜히 더 고민이 깊어졌습니다. 집으로 돌아오는 길에 청소기 하나 때문에 이렇게 스트레스를 받네 라는 생각이 계속 들더라고요. 게다가 지금 사는 곳은 서비스센터도 가까운 편이 아니라 시간을 따로 내야 한다는 점도 은근히 부담이었고요. 그래서 이번에는 마음을 고쳐먹었습니다. 실제로 쓰기 편한지를 기준으로 다시 골라보자고요. 특히 한 번 배터리 문제를 겪고 나니 이번 선택에서는 사용 시간과 안정성을 가장 중요하게 보게 되더라고요. 여러 무선청소기중 배터리까지 비교해본 끝에 제가 선택한 제품은 에이드웰 무선청소기였습니다.",배터리 교체 (호환 배터리),관리,교체
1,2,"1. 최대 약 45분 사용, 배터리 걱정이 확실히 줄어든 이유 최대 45분까지 사용이 가능한 배터리를 갖추고 있어요. 집 전체를 한 번에 정리하거나 흡입력을 조금 높여 사용해도 중간에 혹시나 전원이 꺼질까 봐 불안해할 일이 거의 없습니다. 그 이유는 배터리에 BMS 시스템이 그대로 적용이 되는데요. LG나 삼성 비스포크 제트는 제품 페이지를 동시에 확인해 보니까 보이지가 않아서 기본적으로 있는지 잘 모르겠더라구요 하지만 이 제품은 스스로 배터리 상태를 체크해서 그날 가장 최적의 모드로 효율성 있게 사용할 수 있다고 해요 그래서 이 모드로 방전이나 수명을 최대한으로 사용할 수 있어요 또 이전처럼 청소 도중 배터리 잔량을 계속 신경 쓰지 않아도 되어",365,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",관리,structural,2,11,1,0.905560269063678,4.152607,7.5756526,"1. 최대 약 45분 사용, 배터리 걱정이 확실히 줄어든 이유 최대 45분까지 사용이 가능한 배터리를 갖추고 있어요. 집 전체를 한 번에 정리하거나 흡입력을 조금 높여 사용해도 중간에 혹시나 전원이 꺼질까 봐 불안해할 일이 거의 없습니다. 그 이유는 배터리에 BMS 시스템이 그대로 적용이 되는데요. LG나 삼성 비스포크 제트는 제품 페이지를 동시에 확인해 보니까 보이지가 않아서 기본적으로 있는지 잘 모르겠더라구요 하지만 이 제품은 스스로 배터리 상태를 체크해서 그날 가장 최적의 모드로 효율성 있게 사용할 수 있다고 해요 그래서 이 모드로 방전이나 수명을 최대한으로 사용할 수 있어요 또 이전처럼 청소 도중 배터리 잔량을 계속 신경 쓰지 않아도 되어",배터리 교체 (호환 배터리),관리,교체
1,3,"2.  515W의 성능, 일상 청소에선 강력했던 흡입력 체감 무선청소기 흡입력도 선택할 때 빠질 수 없는 요소죠. 이 제품은 약 180AW 수준의 흡입력을 갖추고 있는데 바닥에 떨어진 머리카락이나 눈에 잘 보이지 않는 먼지까지 한 번 지나가면 정리되는 느낌이 들었습니다. 흡입력이 약해서 같은 자리를 여러 번 왔다 갔다 해야 하는 불편함도 거의 없었고, 일상적인 가정용 청소 기준에서는 LG 무선청소기나 삼성만큼 충분히 만족스러운 성능이었어요.",248,"[39, 40, 41, 42, 43, 44, 45, 46]",관리,structural,3,8,2,1.0,-0.33959827,6.0921135,"2. 515W의 성능, 일상 청소에선 강력했던 흡입력 체감 무선청소기 흡입력도 선택할 때 빠질 수 없는 요소죠. 이 제품은 약 180AW 수준의 흡입력을 갖추고 있는데 바닥에 떨어진 머리카락이나 눈에 잘 보이지 않는 먼지까지 한 번 지나가면 정리되는 느낌이 들었습니다. 흡입력이 약해서 같은 자리를 여러 번 왔다 갔다 해야 하는 불편함도 거의 없었고, 일상적인 가정용 청소 기준에서는 LG 무선청소기나 삼성만큼 충분히 만족스러운 성능이었어요.",제품 사용 만족 (흡입력/올인원타워),사용,
1,4,"3. AI 인식 기능, 사용 중 상황을 바로 알 수 있다는 점 쓰면서 은근히 좋다고 느꼈던 부분이 바로 AI 인식 기능이었습니다. 청소 중 이상이 생기면 손잡이 상단에 고가의 OLED 디스플레이에 예전처럼 왜 멈췄지? 고장 난 건가?’ 혼자서 괜히 걱정할 필요 없이 현재 상태를 바로 확인할 수 있어서 사용하면서 마음이 한결 편해졌습니다.",189,"[47, 48, 49, 50, 51]",관리,structural,4,5,2,1.0,-1.2262949,5.39242,"3. AI 인식 기능, 사용 중 상황을 바로 알 수 있다는 점 쓰면서 은근히 좋다고 느꼈던 부분이 바로 AI 인식 기능이었습니다. 청소 중 이상이 생기면 손잡이 상단에 고가의 OLED 디스플레이에 예전처럼 왜 멈췄지? 고장 난 건가?’ 혼자서 괜히 걱정할 필요 없이 현재 상태를 바로 확인할 수 있어서 사용하면서 마음이 한결 편해졌습니다.",제품 사용 만족 (흡입력/올인원타워),사용,
1,5,4. AI 자동 오토 모드로 효율적이고 최적의 청소가 가능 이 모델은 바닥에 먼지량에 따라 자동으로 흡입력을 바꿔줘요 그래서 따로 모드를 바꿀 필요도 없고 신경도 쓰지 않아도 됩니다. 이게 생각보다 인식률이 정확해서 좀 놀랍기는 하더라고요. 훨씬 저렴한 가격대에 LG나 삼성과 같은 기능이 있을뿐더러 성능도 두 브랜드 못지않을 정도로 좋다는 점이었습니다.,198,"[52, 53, 54, 55, 56, 57]",관리,structural,5,6,2,1.0,-0.674672,5.5602818,4. AI 자동 오토 모드로 효율적이고 최적의 청소가 가능 이 모델은 바닥에 먼지량에 따라 자동으로 흡입력을 바꿔줘요 그래서 따로 모드를 바꿀 필요도 없고 신경도 쓰지 않아도 됩니다. 이게 생각보다 인식률이 정확해서 좀 놀랍기는 하더라고요. 훨씬 저렴한 가격대에 LG나 삼성과 같은 기능이 있을뿐더러 성능도 두 브랜드 못지않을 정도로 좋다는 점이었습니다.,제품 사용 만족 (흡입력/올인원타워),사용,
1,6,"5. 대용량 먼지통, 자동비움 없어도 충분했던 이유 자동비움 스테이션이 없는 점이 처음엔 살짝 고민되기도 했는데, 약 1L 용량의 먼지통 덕분에 실사용에서는 크게 불편함이 없었습니다. 하루치 청소 정도는 중간에 비울 필요 없이 한 번에 끝낼 수 있었고, 먼지통 비움도 쉬워서 비우는 과정 자체가 번거롭다는 느낌은 거의 없었어요.",183,"[58, 59, 60, 61, 62]",관리,structural,6,5,2,1.0,0.6783361,7.0038133,"5. 대용량 먼지통, 자동비움 없어도 충분했던 이유 자동비움 스테이션이 없는 점이 처음엔 살짝 고민되기도 했는데, 약 1L 용량의 먼지통 덕분에 실사용에서는 크게 불편함이 없었습니다. 하루치 청소 정도는 중간에 비울 필요 없이 한 번에 끝낼 수 있었고, 먼지통 비움도 쉬워서 비우는 과정 자체가 번거롭다는 느낌은 거의 없었어요.",제품 사용 만족 (흡입력/올인원타워),사용,
1,7,"6. 청소 후 공기까지 신경 쓴 구조 청소 중 미세먼지가 다시 날리지 않는지였는데, 사용해보니 청소 후에도 집 안이 탁해졌다는 느낌이 거의 없었습니다. 그래서 먼지통을 보면 미세한 먼지가 전부 붙어 있었는데요. 마무리까지 깔끔한 느낌이 남아서 이 부분에서도 만족도가 높았어요.",154,"[63, 64, 65, 66, 67]",관리,structural,7,5,0,0.4218268463149057,-0.19532225,7.3347263,"6. 청소 후 공기까지 신경 쓴 구조 청소 중 미세먼지가 다시 날리지 않는지였는데, 사용해보니 청소 후에도 집 안이 탁해졌다는 느낌이 거의 없었습니다. 그래서 먼지통을 보면 미세한 먼지가 전부 붙어 있었는데요. 마무리까지 깔끔한 느낌이 남아서 이 부분에서도 만족도가 높았어요.",필터/먼지봉투 청소 및 교체 관리,관리,
1,8,"7. 무게는 있지만, 오히려 안정감 있었던 사용감 실제로 사용해보니 바닥에 밀착되는 느낌이고 굉장히 유연하고 부드럽게 회전이 되니까 청소할 때 안정감 있게 느껴졌습니다. 확실하게 빨아들이는 느낌을 선호한다면 충분히 부담스럽지 않고 편안하게 사용이 가능해요.",143,"[68, 69, 70, 71, 72, 73]",관리,structural,8,6,2,0.9030149234171336,0.35563913,5.969826,"7. 무게는 있지만, 오히려 안정감 있었던 사용감 실제로 사용해보니 바닥에 밀착되는 느낌이고 굉장히 유연하고 부드럽게 회전이 되니까 청소할 때 안정감 있게 느껴졌습니다. 확실하게 빨아들이는 느낌을 선호한다면 충분히 부담스럽지 않고 편안하게 사용이 가능해요.",제품 사용 만족 (흡입력/올인원타워),사용,
1,9,"8. OLED 디스플레이, 상태 확인이 직관적인 이유 손잡이 상단에는 OLED 디스플레이가 적용돼 있어 배터리 상태나 작동 상황을 한눈에 확인할 수 있습니다. AI 인식 기반으로 이상 발생 시 안내 문구가 바로 표시돼 불필요하게 당황할 일이 줄어든 점도 사용하면서 꽤 만족스러웠어요. LG청소기와 같이 연장관을 통해 길이를 늘이고 줄이고 할 수가 있어서 어떤 누가 사용하더라도 편안하게 사용을 할 수가 있게 되어 있었어요. 심지어 길이를 줄이고 늘려도 LG청소기와 같이 흡입력이 전혀 떨어진다거나 하는 단점도 없었습니다.",291,"[74, 75, 76, 77, 78, 79, 80, 81, 82, 83]",관리,structural,9,10,2,1.0,-1.3514352,5.393411,"8. OLED 디스플레이, 상태 확인이 직관적인 이유 손잡이 상단에는 OLED 디스플레이가 적용돼 있어 배터리 상태나 작동 상황을 한눈에 확인할 수 있습니다. AI 인식 기반으로 이상 발생 시 안내 문구가 바로 표시돼 불필요하게 당황할 일이 줄어든 점도 사용하면서 꽤 만족스러웠어요. LG청소기와 같이 연장관을 통해 길이를 늘이고 줄이고 할 수가 있어서 어떤 누가 사용하더라도 편안하게 사용을 할 수가 있게 되어 있었어요. 심지어 길이를 줄이고 늘려도 LG청소기와 같이 흡입력이 전혀 떨어진다거나 하는 단점도 없었습니다.",제품 사용 만족 (흡입력/올인원타워),사용,
